weekday_id,weekday_name,hour,count,amount,count_diff,amount_diff
0,Sunday,0,10,798.63,-2,-147.244285714285714285714285714
0,Sunday,1,18,1324.87,5,134.217142857142857142857142857
0,Sunday,2,11,671.54,0,-75.557142857142857142857142857
0,Sunday,3,18,1171.66,-1,-222.228571428571428571428571429
0,Sunday,4,27,2203.43,-7,-271.158571428571428571428571429
0,Sunday,5,48,3470.41,3,-49.627142857142857142857142857
0,Sunday,6,76,5413.72,18,587.548571428571428571428571429
0,Sunday,7,70,5270.58,3,-124.285714285714285714285714286
0,Sunday,8,85,6058.67,9,282.58
0,Sunday,9,78,6206.08,2,597.804285714285714285714285714
0,Sunday,10,64,4793.68,-12,-821.447142857142857142857142857
0,Sunday,11,61,4376.51,-15,-1194.241428571428571428571428571
0,Sunday,12,66,4622.03,-10,-1032.692857142857142857142857143
0,Sunday,13,75,5919.39,2,388.387142857142857142857142857
0,Sunday,14,76,6071.52,2,594.278571428571428571428571429
0,Sunday,15,84,6145.55,14,851.968571428571428571428571429
0,Sunday,16,56,4278.3,-10,-755.504285714285714285714285714
0,Sunday,17,87,6213.84,7,431.234285714285714285714285714
0,Sunday,18,94,7359.04,15,1628.077142857142857142857142857
0,Sunday,19,84,6272.67,3,214.618571428571428571428571429
0,Sunday,20,75,6072.43,8,1039.161428571428571428571428571
0,Sunday,21,50,4574.52,0,366.077142857142857142857142857
0,Sunday,22,28,1650.82,-7,-977.17
0,Sunday,23,25,1759.72,7,418.898571428571428571428571429
2,Tuesday,0,10,758.76,-2,-187.114285714285714285714285714
2,Tuesday,1,14,1657.33,1,466.677142857142857142857142857
2,Tuesday,2,13,839.35,2,92.252857142857142857142857143
2,Tuesday,3,15,1296.33,-4,-97.558571428571428571428571429
2,Tuesday,4,44,2898.1,10,423.511428571428571428571428571
2,Tuesday,5,54,4179.77,9,659.732857142857142857142857143
2,Tuesday,6,43,3243.93,-15,-1582.241428571428571428571428571
2,Tuesday,7,82,6232.61,15,837.744285714285714285714285714
2,Tuesday,8,93,7220.22,17,1444.13
2,Tuesday,9,73,5723.1,-3,114.824285714285714285714285714
2,Tuesday,10,66,4727.8,-10,-887.327142857142857142857142857
